2018-02-23 15:03:39.264 INFO  ProxyRunner:33 - 启动定时更新代理服务...
2018-02-23 15:04:59.862 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:04:59.862 INFO  ProxyApi:44 - 获取代理ip: 110.85.89.217
2018-02-23 15:04:59.862 INFO  ProxyApi:45 - 获取代理port: 55787
2018-02-23 15:05:04.946 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:05:05.49 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:05:05.51 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:05:05.52 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:05:05.53 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:05:05.53 INFO  ProxyApi:44 - 获取代理ip: 115.210.182.229
2018-02-23 15:05:05.53 INFO  ProxyApi:45 - 获取代理port: 46536
2018-02-23 15:05:10.121 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:05:10.231 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:05:10.231 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:05:10.231 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:05:10.231 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:05:10.232 INFO  ProxyApi:44 - 获取代理ip: 114.225.237.21
2018-02-23 15:05:10.233 INFO  ProxyApi:45 - 获取代理port: 63807
2018-02-23 15:05:15.389 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:05:15.545 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:05:15.546 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:05:15.546 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:05:15.546 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:05:15.547 INFO  ProxyApi:44 - 获取代理ip: 114.99.26.52
2018-02-23 15:05:15.547 INFO  ProxyApi:45 - 获取代理port: 20154
2018-02-23 15:05:20.621 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:05:20.708 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:05:20.708 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:05:20.708 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:05:20.708 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:05:20.708 INFO  ProxyApi:44 - 获取代理ip: 117.68.195.124
2018-02-23 15:05:20.708 INFO  ProxyApi:45 - 获取代理port: 58072
2018-02-23 15:05:25.810 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:05:25.894 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:05:25.894 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:05:25.895 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:05:25.895 INFO  HttpUtil:81 - 卡死位置5
